 RODS report1f created at 11:25:31 on 16-02-2018,,,,,,,,,,,
 based on survey data up to 2017 and reconciled to Autumn 2017 counts,,,,,,,,,,,
 ,,,,,,,,,,,
 Report 1f - Analysis by average time spent on journey (minutes) by start station,,,,,,,,,,,
NLC,Station Name,Time period,Total,Total time,Average,< 15 mins,15 - 30,30 - 45,45 - 60,60 - 90,over 90
511,Baker Street        ,Evening     ,6394,126512,19.79,2402,3080,680,232,0,0
511,Baker Street        ,Late        ,2403,46096,19.19,709,1470,213,10,0,0
511,Baker Street        ,Total day   ,47115,907544,19.26,17539,23189,4984,1379,23,0
512,Balham              ,Early       ,1305,36361,27.86,83,724,399,86,13,0
512,Balham              ,AM peak     ,10877,277108,25.48,934,7364,2409,166,4,0
512,Balham              ,Midday      ,4605,100421,21.81,1366,2580,573,73,12,0
512,Balham              ,PM Peak     ,3571,74228,20.79,1434,1016,1002,110,9,0
512,Balham              ,Evening     ,1549,30032,19.39,836,417,212,76,6,0
512,Balham              ,Late        ,639,11572,18.11,370,196,47,24,2,0
512,Balham              ,Total day   ,22546,529721,23.5,5024,12297,4643,536,47,0
513,Bank / Monument     ,Early       ,1748,41261,23.6,717,440,485,107,0,0
513,Bank / Monument     ,AM peak     ,14529,215920,14.86,10084,2822,1251,372,0,0
513,Bank / Monument     ,Midday      ,29922,525908,17.58,16440,9577,2747,946,212,0
513,Bank / Monument     ,PM Peak     ,63286,1232720,19.48,29771,20451,10751,2235,77,0
513,Bank / Monument     ,Evening     ,25957,492324,18.97,10216,12148,2971,600,1,21
513,Bank / Monument     ,Late        ,9238,187523,20.3,4098,3231,1717,188,5,0
513,Bank / Monument     ,Total day   ,144681,2695655,18.63,71327,48667,19922,4449,295,21
501,Barbican            ,Early       ,141,3976,28.3,29,63,19,17,13,0
501,Barbican            ,AM peak     ,1463,26416,18.06,634,661,129,17,23,0
501,Barbican            ,Midday      ,5301,99660,18.8,1940,2751,396,173,42,0
501,Barbican            ,PM Peak     ,9134,203632,22.29,2744,4071,1700,485,133,0
501,Barbican            ,Evening     ,3173,78146,24.63,671,1588,621,227,67,0
501,Barbican            ,Late        ,1391,36322,26.11,437,451,289,110,104,0
501,Barbican            ,Total day   ,20603,448153,21.75,6454,9585,3154,1029,382,0
514,Barking             ,Early       ,4670,172468,36.93,178,1809,1266,1045,353,18
514,Barking             ,AM peak     ,9820,297953,30.34,1321,4076,2897,1127,394,4
514,Barking             ,Midday      ,8089,242754,30.01,978,3771,2232,729,228,150
514,Barking             ,PM Peak     ,7303,177557,24.31,2476,3078,796,813,71,69
514,Barking             ,Evening     ,3721,79492,21.36,1442,1589,414,225,51,0
